title,OEM,OEM Number,Description,Product Availability
100-150mm Sensor Comb,AMAT ,0020-96737,AMAT 0020-96737 100-150mm Sensor Comb,In Stock
Shim 5mm,AMAT ,0020-94228,AMAT 0020-94228 Shim 5mm,In Stock
Bearing,AMAT ,3060-0023,AMAT 3060-0023 Bearing,In Stock
On Board Cryo Controller,CTI,,No Description,In Stock
Cryo Auto Purge,CTI,,No Description,In Stock
Cryo Leak Check Flange Kit,CTI,,No Description,In Stock
Cryo Absorber,CTI,9600/9700A,No Description,In Stock
Edwards Speedy Valve,Edwards,SP25K,No Description,In Stock
CTI Network Control,CTI,8113052G003,No Description,In Stock
Edwards Vacuum Gauge,Edwards,D02171000,No Description,In Stock
Varian Leak Test Kit,,,No Description,In Stock
Vacuum Interlock Extender Card,,,No Description,In Stock
Vac Cable,Pfeiffer,PM 051 104 -T,Vac Cable,In Stock
V.Large Torque Wrench,,,No Description,In Stock
Utilities Pressure Switch,,,No Description,In Stock
Thermistor Gauge Cable,,,No Description,In Stock
Test Cables,,,No Description,In Stock
Terminal Earth Piston,,,No Description,In Stock
T/C Door Micro Switch + Vibration,,,No Description,In Stock
Strip Light,,,No Description,In Stock
Spin Scan Relay Diagnostic Card,,,No Description,In Stock
Spectra Gas Analyser,,,No Description,In Stock
Source Magnet Coils,,,No Description,In Stock
Sony Monitor,,LMD-1040XC,Sony Monitor,In Stock
Set Up Jig,,,No Description,In Stock
Scope Leads,,,No Description,In Stock
Rear Monitor & Control,,,No Description,In Stock
Pump Baffle,,,No Description,In Stock
Pressure Gauges x3,,,No Description,In Stock
Portable LCD Monitor,,,No Description,In Stock
Pipes,,,No Description,In Stock
PFS Argon Gas Line,,,No Description,In Stock
Pfeiffer Vac Display,Pfeiffer,DCU001,Pfeiffer Vac Display,In Stock
MRS Leak Check Cans,,,No Description,In Stock
Iso Transformer,Varian ,E11041960,Model No.91095-31T Iso Transformer,In Stock
Misc Vacuum Lines,,,No Description,In Stock
Misc Spares 1 Box,,,Misc Spares 1 Box,In Stock
Misc Service Spares,,,No Description,In Stock
Misc Cover Plates,,,No Description,In Stock
Minus 15KV Decel Resistor Assy,,0090-91484,No Description,In Stock
Minus 15KV Decel Chassis,,,No Description,In Stock
Manipulator Graphite Kit,,,No Description,In Stock
Main Shaft Blank,,,No Description,In Stock
Main Power Distribution Panel & Lock,,,No Description,In Stock
LTH Resistivity Monitor,,DCD23,No Description,In Stock
Load Lock Sensors,,,No Description,In Stock
Load Lock Filter,,,No Description,In Stock
Litharge PA,,,No Description,In Stock
Light Link Tester,,,No Description,In Stock
Light Link Repair Kit,,,No Description,In Stock
Lift Bracket,,,No Description,In Stock
Leak Check Port,,,No Description,In Stock
Leak Check Nozzle,,,No Description,In Stock
Kit Test Leads,,,No Description,In Stock
Kit Leak Test Ports,,,Kit Leak Test Ports,In Stock
Isolation Valve,Varian ,E11000360,Isolation Valve,In Stock
Iso Valve Seal,,,No Description,In Stock
ION Gauge Tester,,,No Description,In Stock
Implant Accel Column Cart,,,Implant Accel Column Cart,In Stock
Impant - Nova - Strobe,,,No Description,In Stock
Helium Leak Check Lines,,,No Description,In Stock
Guass Meter,,REDFIELD 2,No Description,In Stock
Gripper Parts Kit,,,No Description,In Stock
Genus VME Bus Extender card,,,No Description,In Stock
Genus GPI Extender Card,,43057-00,No Description,In Stock
Flood Gun Fit,,,No Description,In Stock
Filter Housing Handle,,,No Description,In Stock
Fibre Optic Test Kit,,,No Description,In Stock
Feedthroughs & Shims,,,No Description,In Stock
Extension Lead,,,No Description,In Stock
Extender Card,,936-3010,No Description,In Stock
Exhaust Baffle,,,No Description,In Stock
Ergo Effector,,,No Description,In Stock
End Station Power Distribution Panel,,,No Description,In Stock
Electrical Feed Throughs,,,No Description,In Stock
DI Lines + Fittings,,,No Description,In Stock
D Plate Scan,,,D Plate Scan,In Stock
Clamp,,,No Description,In Stock
Modified Power Cable,Varian ,E16134300,Varian Modified Power Cable,In Stock
Bushing,,,No Description,In Stock
Barrier,,,No Description,In Stock
Argon Purge Module,,,No Description,In Stock
Alum-A-Lift Beam Stop Extender,,,Aluma Lift Beam Stop Extender,In Stock
Abb Contactors A30,,,No Description,In Stock
120V Surge Protector,,,No Description,In Stock
Wave Guide Cooling Plate,Varian ,,No Description,In Stock
Wafer Handling Effectors,Varian ,,Varian Wafer Handling Effectors,In Stock
Varian Power Supply,Varian ,E11005383,Varian Varian Power Supply E11005383,In Stock
Varian Backing Valve,Varian ,L6281-602,No Description,In Stock
Vacuum Gauge Control,Varian ,E11003710,Varian Vacuum Gauge Control E11000071,In Stock
Uniformity Controller,Varian ,E11001010,Varian Uniformity Controller E11001010,In Stock
Terminal Pneumatic Module,Varian ,E11064970,Varian Terminal Pneumatic Module E11064970,In Stock
Temperature Monitor,Varian ,E11001200,Varian Temperature Monitor E11001200,In Stock
Target Cup Vac Cup,Varian ,,No Description,In Stock
Power Supply Terminal Suppression,Varian ,E11000022,Varian E11000022 Power Supply Terminal Suppression,In Stock
Source Magnet Power Supply,Varian ,E11000092,Varian Source Magnet Power Supply E11000092,In Stock
Source Magnet Polarity Switch,Varian ,E11134160,Varian Source Magnet Polarity Switch E11134160,In Stock
Source Housing,Varian ,,Varian Source Housing,In Stock
Source Body,Varian ,,No Description,In Stock
Smoke Detector,Varian ,E11038421,No Description,In Stock
Six Phase Generator,Varian ,E19003380,Varian Six Phase Generator E19003380,In Stock
Setup Jig,Varian ,,Varian Setup Jig,In Stock
Setup Cup Vac Jig,Varian ,,No Description,In Stock
Set Up Faraday Pre Amp,Varian ,E11000351,Varian Set Up Faraday Pre Amp E11000351,In Stock
Scanning Faraday Controller | Rotating Platen Controller,Varian ,E11048881,Varian Scanning Faraday Controller | Rotating Platen Controller E11048881,In Stock
Scan Power Supply,Varian ,E19000790,Varian Scan Power Supply E19000790,In Stock
Scan Generator Controller,Varian ,E11005430,Varian Scan Generator Controller E11005430,In Stock
Safety Lance,Varian ,,No Description,In Stock
Roof Fan,Varian ,,No Description,In Stock
Right Elevator Controller,Varian ,E11000821,Varian Right Elevator Controller E11000821,In Stock
Right Arm Servo Control,Varian ,E11001000,No Description,In Stock
Quad Magnet Power Supply,Varian ,E11000090,Varian Quad Magnet Power Supply E11000090,In Stock
Proteus Flow Meter,Varian ,9100C24P3,No Description,In Stock
Power Supply Extraction Assy 75kV,Varian ,E11005382,"Varian Power supply extraction assy, 75kV. E11005382",In Stock
Pneumatic Assy Chassis Source Cabinet,Varian ,E11033360,Varian Pneumatic Assy Chassis Source Cabinet E11033360,In Stock
Platen + Faraday Control,Varian ,E11048881,Varian Platen + Faraday Control E11048881,In Stock
Pfeiffer Vac Control,Pfeiffer,DCU001,Varian Pfeiffer Vac Control DCU001,In Stock
Pfeiffer TCP5000 Source Turbo Control,Pfeiffer,E11003061,Varian Pfeiffer TCP5000 Source Turbo Control E11003061,In Stock
Pfeiffer Source Turbo PSU,Pfeiffer,D-35614,Varian Pfeiffer Source Turbo PSU D-35614,In Stock
Pfeiffer Source Turbo,Pfeiffer,,Varian Pfeiffer Source Turbo Pump,In Stock
Orientor Lifter Controller,Varian ,E11001690,No Description,In Stock
Orientor Control,Varian ,E11001411,Varian Orientor Control E11001411,In Stock
Misc Parts (Lots),Varian ,,No Description,In Stock
Manipulator Vac Can,Varian ,,No Description,In Stock
Manifold,Varian ,,No Description,In Stock
Magnet Cool Plate,Varian ,,Varian Magnet Cool Plate Varian,In Stock
Liner Graphite Dipol,Varian ,E17036410,Varian Liner Graphite Dipol E17036410,In Stock
Linear Motor Servo Controller,Varian ,E11001062,Varian Linear Motor Servo Controller E11001062,In Stock
Lens Magnet Power Supply,Varian ,E11000142,Varian Lens Magnet Power Supply E11000142,In Stock
Left Elevator Controller,Varian ,E11000821,Varian Left Elevator Controller E11000821,In Stock
Left Arm Servo Controller,Varian ,E11001000,Varian E11001000 Left Arm Servo Controller,In Stock
Iso Valve,Varian ,42500426,Varian Iso Valve Model No.944A0PHPNCSTS 42500426,In Stock
ION Source,Varian ,,No Description,In Stock
I/O Digital Multi PCB,Varian ,E15000031,No Description,In Stock
Handler Hubs,Varian ,,No Description,In Stock
Hall Probe Amplifier,Varian ,E11053620,Varian Hall Probe Amplifier E11053620,In Stock
Graphite Box,Varian ,,No Description,In Stock
Filament Power Supply,Varian ,E19000431,Varian Filament Power Supply E19000431,In Stock
Ferrofluidic,Varian ,E19000240,No Description,In Stock
Faraday Pre-Amp,Varian ,E11000351,Varian Faraday Pre-Amp E11000351,In Stock
Extraction Manipulator Controller,Varian ,E11005060,Varian Extraction Manipulator Controller E11005060,In Stock
Electrostatic Clamp Controller,Varian ,,Varian Electrostatic Clamp Controller,In Stock
Dose Intergrator,Varian ,E11001033,Varian Dose Intergrator E11001033,In Stock
CPU - Hard Drive Removed,Varian ,E11092032,Varian CPU - Hard Drive Removed E11092032,In Stock
Cooling Flange,Varian ,,No Description,In Stock
Constant Voltage Current Power Supply,Varian ,"E11005680, E11005370","Varian Constant Voltage Current Power Supply E11005680, E11005370",In Stock
Cold Cathode Vacuum Gauge,Varian ,,No Description,In Stock
Clean Leaded Glass,Varian ,,Varian Clean Leaded Glass (2 cases containing 9 glass plates),In Stock
Brake Actuator Assy,Varian ,E11087520,No Description,In Stock
"Blank Off Assy, Shipping, Accel Column",Varian ,E18001072,"Varian Blank Off Assy, Shipping, Accel Column E18001072",In Stock
Baffle/Source Exhaust,Varian ,,No Description,In Stock
Backing Valve,Varian ,C41401000,No Description,In Stock
Assembly Carrier,Varian ,,No Description,In Stock
ARC Power Supply,Varian ,E19000462,Varian ARC Power Supply E19000462,In Stock
Actuator Bellows,Varian ,,No Description,In Stock
Accel Suppression Power Supply,Varian ,E11001040,Varian Accel Suppression Power Supply E11001040,In Stock
60 KV Mirror Power Supply,Varian ,E11004140,Varian 60 KV Mirror Power Supply E11004140,In Stock
300kv HV Probe,Varian ,E19008650,Varian 300kv HV Probe E19008650,In Stock
"1/4"" Turbine",Varian ,,"Varian 1/4"" Turbine ",In Stock
0-30KV Power Supply,Varian ,E19000790,Varian 0-30KV Power Supply E19000790,In Stock
Vertical Lift Orientor Control,Varian ,E11001690,"Varian E11001690 CONTROLLER,VERTICAL LIFT/SCAN FARADAY",In Stock
Pfeiffer Turbo Control TPS600,Pfeiffer,TPS600,Varian Pfeiffer Turbo Control TPS600,In Stock
Light Links Kit ,Varian ,,No Description,In Stock
JL Cup Assy,Varian ,E110294890,Varian JI Cup Assy E110294890,In Stock
Gate Valve ,Varian ,,No Description,In Stock
Focus Faraday Vac Can ,Varian ,,No Description,In Stock
Electrode,Varian ,E11029460,Varian Electrode E11029460,In Stock
Chamber Blanks ,Varian ,,No Description,In Stock
Window,AMAT ,,No Description,In Stock
Wafer Vacuum Chassis,AMAT ,9090-00255,No Description,In Stock
Wafer Loader Valve Seat,AMAT ,,No Description,In Stock
Wafer Loader Vacuum M/Board,AMAT ,0100-90183,No Description,In Stock
Wafer Loader Isolation Valve,AMAT ,,No Description,In Stock
Wafer Arm Servo Motor,AMAT ,,AMAT Wafer Arm Servo Motor,In Stock
Wafer Arm Servo and Power Supply,AMAT ,9090-90250,AMAT Wafer Arm Servo and Power Supply,In Stock
Wafer Arm Position PCB,AMAT ,0100-90491,No Description,In Stock
Wafer Arm Motor Drive Assy,AMAT ,,AMAT Wafer Arm Motor Drive Assy,In Stock
Wafer Arm Interlock PCB,AMAT ,0100-90237,No Description,In Stock
Wafer Arm Gripper Interface PCB,AMAT ,0100-90944,No Description,In Stock
View Ports Windows,AMAT ,,No Description,In Stock
View Ports,AMAT ,,No Description,In Stock
Variable Supply Power Supply,AMAT ,0090-93024,AMAT Variable Supply PSU 0090-93024,In Stock
AMAT Vacuum Gauge Control,AMAT ,,No Description,In Stock
Vacuum Gauge,AMAT ,,No Description,In Stock
Vac Chamber Hardware,AMAT ,,No Description,In Stock
Utilities Manifold,AMAT ,,AMAT Utilities Manifold,In Stock
Turbo Pump Controller,AMAT ,0090-90993,AMAT Turbo Control 0090-90993,In Stock
Transducer Plate,AMAT ,,AMAT Transducer Plate ,In Stock
Transducer Control and Plate,AMAT ,,No Description,In Stock
Tetrode Chassis,AMAT ,"1140-90164, 9090-00801W",AMAT Tetrode Chassis 1140-90164,In Stock
Terminal Resistor Box,AMAT ,0090-00342,No Description,In Stock
Temp + Gas Control Chassis,AMAT ,9090-00106,No Description,In Stock
Target Vacuum Chassis,AMAT ,"9090-00246, 0240-00961",No Description,In Stock
Target System Ppneumatics Box,AMAT ,3930-90050,No Description,In Stock
Suppression Resistor Box,AMAT ,0090-00342ITL,No Description,In Stock
Suppression Power Supply,AMAT ,0240-96154,AMAT Suppression PSU,In Stock
Suppression Feedthrough,AMAT ,0090-91422,No Description,In Stock
Suppression Clamping Box,AMAT ,0090-91816,No Description,In Stock
Support Shields,AMAT ,PV40PKA,No Description,In Stock
Spin/Scan Interface,AMAT ,0090-93095,No Description,In Stock
Spin/Scan Control M/Board,AMAT ,0100-91059,No Description,In Stock
Spin Scan Interface Chassis,AMAT ,0090-91161,No Description,In Stock
Spin Scan Control Chassis,AMAT ,9090-00109,No Description,In Stock
Spin Scan Control,AMAT ,0090-93099ITL,AMAT Spin Scan Control 0090-93099ITL,In Stock
Spin Power Unit,AMAT ,"0090-91558, 0090-91557",AMAT Spin Power Unit 0090-91558,In Stock
9500xR Spin Amplifier,AMAT ,0090-91124,AMAT 9500xR Spin Amplifier 0090-91124,In Stock
Spin Motor Ferro-Fluidic Seal,AMAT ,,Spin Motor Ferro-Fluidic Seal,In Stock
Source Turbo Baffle,AMAT ,,No Description,In Stock
Source Leak Check Cans,AMAT ,,No Description,In Stock
AMAT Source Leak Check Can,AMAT ,,AMAT Source Leak Check Can,In Stock
Source ISO Valve,AMAT ,,No Description,In Stock
SIF 4,AMAT ,,No Description,In Stock
"Scan,Amatic Relays",AMAT ,,No Description,In Stock
Scan Motor Amp,AMAT ,0090-91158,No Description,In Stock
Scan Lead Screw,AMAT ,,No Description,In Stock
Scan Drive Plate,AMAT ,,No Description,In Stock
Scan Arm Ferro-Fluidic Seal,AMAT ,,Scan Arm Ferro-Fluidic Seal,In Stock
Scan Arm Drive,AMAT ,,No Description,In Stock
Scan Arm Bottom Lock Plate,AMAT ,,No Description,In Stock
Safety Switch IHC Retrofit,AMAT ,,No Description,In Stock
Robotic Interface PCB,AMAT ,0100-90761,No Description,In Stock
Purge/Vent Valves,AMAT ,,No Description,In Stock
Processor Window (375 x 325 mm),AMAT ,,No Description,In Stock
Processor Pneumatic Box + Argon MFC,AMAT ,,AMAT Processor Pneumatic Box + Argon MFC,In Stock
Pre Defining Guides,AMAT ,,No Description,In Stock
Pre Defining Aperture,AMAT ,,No Description,In Stock
Pre Accel + Magnet Control Chassis,AMAT ,9090-00861,No Description,In Stock
Pre Accel + Analysing Magnet Control Chassis,AMAT ,9090-00291,No Description,In Stock
Pre Accel & Magnet Control Chassis,AMAT ,0090-91463,No Description,In Stock
Position Confirmation Sensor,AMAT ,,No Description,In Stock
Port Window,AMAT ,,No Description,In Stock
Pneumatics Control PCB,AMAT ,0100-91095,No Description,In Stock
Pneumatics Box Processor,AMAT ,,AMAT Pneumatics Box Processor,In Stock
Pneumatics Box Chamber,AMAT ,,No Description,In Stock
Pneumatics Box,AMAT ,9240-02882,No Description,In Stock
Pneumatic Processor,AMAT ,,No Description,In Stock
Plasma Flooding Assy+Transport Box,AMAT ,,AMAT Plasma Flooding Assy+Transport Box,In Stock
Plasma Flood Control Chassis,AMAT ,0090-91717,No Description,In Stock
Plansee Suppression Graphite R150,AMAT ,11633332,No Description,In Stock
Plansee Ground Electrode,AMAT ,11632170,No Description,In Stock
Gas Vacuum Line,AMAT ,,Gas Vacuum Line,In Stock
PFS Power Supply Cables,AMAT ,0140-90672,No Description,In Stock
PFS Feedthrough Plate,AMAT ,,No Description,In Stock
PFS Feedthrough,AMAT ,,No Description,In Stock
PFS Cooling Lines,AMAT ,,No Description,In Stock
PFS Chassis,AMAT ,9090-00196,No Description,In Stock
PFS Argon Line,AMAT ,,No Description,In Stock
PFS Argon Controller,AMAT ,,No Description,In Stock
PFS Arc Chamber/Cooling,AMAT ,,No Description,In Stock
PDU DAQ Chassis,AMAT ,0090-91193,No Description,In Stock
Options Chassis,AMAT ,9090-00101,No Description,In Stock
Network Hub Router Interface,AMAT ,,No Description,In Stock
Network Hub,AMAT ,,No Description,In Stock
Multi Rail Power Supply,AMAT ,0090-91841,AMAT Multi Rail PSU 0090-91841,In Stock
MRS Neutral Pump,AMAT ,,No Description,In Stock
AMAT MRS Body,AMAT ,,No Description,In Stock
MRS Backing Valve,AMAT ,,No Description,In Stock
Magnet Power Supply,AMAT ,,No Description,In Stock
Magnet Power Controller Chassis,AMAT ,0090-91153,AMAT Magnet Power Controller Chassis 0090-91153,In Stock
Magnet Control,AMAT ,0090-91818,No Description,In Stock
AMAT Load Lock Filter,AMAT ,,No Description,In Stock
Linear Transducer,AMAT ,,AMAT Linear Transducer,In Stock
Linear Transducer + Plate,AMAT ,,No Description,In Stock
Lifting Aid Kit,AMAT ,,No Description,In Stock
Lift & Rotate Controller,AMAT ,,No Description,In Stock
Lift & Rotate Assembly,AMAT ,,No Description,In Stock
Isolation Tube,AMAT ,,No Description,In Stock
ISO Valve,AMAT ,,No Description,In Stock
ION Source Vac Can,AMAT ,,AMAT ION Source Vac Can,In Stock
ION Source Gate Valve,AMAT ,,No Description,In Stock
ION Source Body,AMAT ,,AMAT ION Source Body,In Stock
ION Gauge Controller,AMAT ,9090-91685,No Description,In Stock
Hiden Head,AMAT ,,No Description,In Stock
Hi Voltage Power Supply,AMAT ,,AMAT Hi Voltage PSU,In Stock
Heat Exchange Control Box,AMAT ,0240-61574,No Description,In Stock
Ground Suppression Power Supply,AMAT ,,No Description,In Stock
Ground Pneumatic Rod,AMAT ,,No Description,In Stock
Ground PSU Chassis,AMAT ,9090-00239,AMAT Ground PSU Chassis 9090-00239,In Stock
Gripper Gas Line,AMAT ,,No Description,In Stock
Gripper Box,AMAT ,,No Description,In Stock
Glassman Hi Voltage PSU + Decel Control Chassis,AMAT ,0090-91404,No Description,In Stock
Glassman Hi Voltage Power Supply,AMAT ,,AMAT Glassman Hi Voltage PSU,In Stock
General Extender Card,AMAT ,0100-90630,No Description,In Stock
Gauge Control,AMAT ,"D04847000, D38661000",No Description,In Stock
Gas Panel Pig Tails,AMAT ,,No Description,In Stock
Gas Box Controller,AMAT ,0090-91890,No Description,In Stock
Gas & Temp Chassis,AMAT ,,No Description,In Stock
Focus HV Line + Cable,AMAT ,,No Description,In Stock
Focus Feedthrough,AMAT ,,No Description,In Stock
Focus Electrode + Ground,AMAT ,,AMAT Focus Electrode + Ground,In Stock
Focus Decel Control + Power Supply,AMAT ,1140-90129,AMAT Focus Decel Control + Power Supply 1140-90129,In Stock
Flood Gun Power Supply,AMAT ,200011-563 6,AMAT Flood Gun Power Supply,In Stock
Flood Gun Gas Feedthrough,AMAT ,,No Description,In Stock
Flood Gun Feedthrough,AMAT ,,No Description,In Stock
Flood Gun Cooling Lines,AMAT ,,No Description,In Stock
Flight Tubes,AMAT ,,No Description,In Stock
Flight Tube Leak Check Kit,AMAT ,,No Description,In Stock
Flight Tube Covers,AMAT ,,No Description,In Stock
Flight Tube Cooling Plate,AMAT ,,AMAT Flight Tube Cooling Plate,In Stock
Ferro Blank,AMAT ,0020-05843,No Description,In Stock
Feed Through Kit,AMAT ,,No Description,In Stock
Feed Gun Power Supply,AMAT ,,AMAT Feed Gun PSU,In Stock
Exxtraction Assy,AMAT ,,No Description,In Stock
Extraction Vac Can,AMAT ,,No Description,In Stock
Extraction Leak Check Vac Can,AMAT ,,AMAT Extraction Leak Check Vac Can,In Stock
Extraction Clamp Box,AMAT ,9090-000152,AMAT Extraction Clamp Box 9090-000152,In Stock
Extraction Body,AMAT ,,No Description,In Stock
Extraction Assy Rebuild Kit,AMAT ,,No Description,In Stock
Extraction Assy,AMAT ,,AMAT Extraction Assy,In Stock
Extraction Assemblies (Qty 12),AMAT ,,No Description,In Stock
Exhaust Connectors,AMAT ,,No Description,In Stock
Dsource Vac Can,AMAT ,,No Description,In Stock
Door Control Box,AMAT ,0010-91962,No Description,In Stock
Dial Gauge,AMAT ,74111374,No Description,In Stock
Decel Ground Bar,AMAT ,,No Description,In Stock
Focus Cage,AMAT ,,Focus Cage,In Stock
DAQ Power Supply,AMAT ,,No Description,In Stock
Daq Inverter Extender Card,AMAT ,0270-90070,No Description,In Stock
D Link Ethernet Hub,AMAT ,DE-816TP,No Description,In Stock
Cryo On Board Interface,AMAT ,8115266G001,AMAT Cryo On Board Interface,In Stock
Cryo Lines,AMAT ,,No Description,In Stock
Controller Pneumatic Processor,AMAT ,3930-99002,AMAT Controller Pneumatic Processor 3930-99002,In Stock
Control Drive PCB,AMAT ,0100-9058B,No Description,In Stock
Control ChassisFocus Supply + Decel/Focus,AMAT ,0090-91806,No Description,In Stock
Contactor Chassis,AMAT ,,No Description,In Stock
Cold Cathode Gauge Cable,AMAT ,,No Description,In Stock
Cold Cathode Gauge + Manifold,AMAT ,525,No Description,In Stock
Clip Airlines,AMAT ,,No Description,In Stock
Cleanroom PC + Cables,AMAT ,0090-91815,No Description,In Stock
Cleanroom PC,AMAT ,,No Description,In Stock
Chamber Wafer Sensors,AMAT ,,AMAT Chamber Wafer Sensors,In Stock
Chamber Sensors,AMAT ,,AMAT Chamber Sensors,In Stock
Chamber Sensor Cables,AMAT ,,No Description,In Stock
Cassette To Blade Set Up Jig,AMAT ,,AMAT Cassette To Blade Set Up Jig,In Stock
Cassette Indexer Support,AMAT ,,No Description,In Stock
Cassette Indexer Kit,AMAT ,,No Description,In Stock
Cassette Indexer Jig (Comb to Array),AMAT ,0270-90179,No Description,In Stock
Indexer,AMAT ,,AMAT Cassette Indexer,In Stock
Carousel Sensors,AMAT ,,AMAT Carousel Sensors,In Stock
Carousel Relay Control,AMAT ,9010-00069,No Description,In Stock
Carousel Controllers,AMAT ,0010-92095,No Description,In Stock
Calibrated Vac Leak,AMAT ,,No Description,In Stock
XR80 Cable,AMAT ,0150-92808,AMAT XR80 Cable 0150-92808,In Stock
Cable Kit / Direct Drive,AMAT ,,AMAT Cable Kit / Direct Drive,In Stock
Blade Parts Kit,AMAT ,,No Description,In Stock
Blade Motor Drive,AMAT ,,No Description,In Stock
Blade Drive,AMAT ,,AMAT Blade Drive,In Stock
Beamstop Vac Flange,AMAT ,,No Description,In Stock
Beamstop Screws & Diodes,AMAT ,,No Description,In Stock
Beamstop Leak Check Flange,AMAT ,,No Description,In Stock
Beamline Instrumentation chassis,AMAT ,0090-91657,No Description,In Stock
Beam Stop Flowmeter,AMAT ,,No Description,In Stock
Beam Line Inst M/Board,AMAT ,0100-90967,No Description,In Stock
BNO - Batch Notch Orientor *,AMAT ,0010-91511,BNO - Batch Notch Orientor,In Stock
Atmosphere Switch,AMAT ,,No Description,In Stock
Arm Position Sensor PCB,AMAT ,0100-90790,No Description,In Stock
Arm Position Sensor,AMAT ,0090-90983,No Description,In Stock
Arm Gripper Controller,AMAT ,"0090-90983, 9090-00099, 0090-91664",No Description,In Stock
AR MFC Contoller,AMAT ,0240-93054,No Description,In Stock
Anti Latch PCB,AMAT ,0100-00415,No Description,In Stock
Analyser Magnet Power Supply,AMAT ,00481528,AMAT Analyser Magnet Power Supply 481528,In Stock
Alum-A-Lift Scan Motor Lift,AMAT ,,AMAT Alum-A-Lift Scan Motor Lift,In Stock
Advance Hi-Volt 6KV Pre Accel,AMAT ,0090-91917W,AMAT Advance Hi-Volt 6KV Pre Accel 0090-91917W,In Stock
A Mag Control PCB,AMAT ,0100-00272,No Description,In Stock
9500 Wafer Loader Contoller Pneumatic Box,AMAT ,3930-90060,AMAT 9500 Wafer Loader Contoller Pneumatic Box 3930-90060,In Stock
4 Phase Stepper Extender Card,AMAT ,0270-90074,No Description,In Stock
24v DC Power Supply,AMAT ,0100-90025,AMAT 24v DC PSU 0100-90025,In Stock
200mm Heatsink Flags x 34,AMAT ,0020-87407,No Description,In Stock
200mm Blade + Tip,AMAT ,,AMAT 200mm Blade + Tip,In Stock
15 Kv Decel Power Supply,AMAT ,,No Description,In Stock
Wafer Loader Control Chassis,AMAT ,0900-91851,AMAT Wafer Loader Control Chassis 0900-91851,In Stock
Wafer Loader Control Chassis,AMAT ,0090-91859,AMAT Wafer Loader Control Chassis 0090-91859,In Stock
Wafer Loader Control Chassis,AMAT ,0090-91563,AMAT Wafer Loader Control Chassis 0090-91563,In Stock
Vacuum Gauge Control,AMAT ,0090-91462,AMAT Vacuum Gauge Control 0090-91462,In Stock
Target System Instrumentation,AMAT ,9090-00100,AMAT Target System Instrumentation 9090-00100,In Stock
Suppression Power Supply,AMAT ,0090-93023,AMAT Suppression PSU 0090-93023,In Stock
Minus 15KV Decel Power Supply,AMAT ,0090-93028,AMAT Minus 15KV Decel Power Supply 0090-93028,In Stock
Minus 15KV Decel Power Supply,AMAT ,0090-91443,AMAT Minus 15KV Decel Power Supply 0090-91443,In Stock
ESS Magnet Power Supply,Lambda/EMI,00481240,ESS Magnet Power Supply,In Stock
Lift & Rotate Controller,AMAT ,0010-93011,AMAT Lift & Rotate Controller 0010-93011,In Stock
Blade Drive Motor + Ferrofluidic,AMAT ,URDM5913/50,AMAT Blade Drive Motor + Ferrofluidic URDM5913/50,In Stock
Fusion System 200ACU Asher,Fusion,,Fusion System 200ACU Asher,In Stock
Fusion Semiconductor Systems V150PC Photostabilizer,Fusion,,Fusion Semiconductor Systems V150PC Photostabilizer,In Stock
Filament PSU,AMAT ,"0090-90555, 0090-91602, 0090-91632, 0090-91535","AMAT 0090-90555 Filament PSU 200A at 5V, ARC & FIL CHASSIS MODULE",In Stock
Plasma Head Feedthrough,AMAT ,0020-80664,"AMAT 0020-80664 FLANGE, Plasma Head Feedthrough",In Stock
MRS Box,AMAT ,,AMAT MRS Box,In Stock
Assorted Vacuum Fittings,AMAT ,,Assorted Vacuum fittings,In Stock
Vacuum Reducers KF40-25/16,Edwards,,Edwards Vacuum Reducers KF40-25/16,In Stock
Isolation Valves,Varian ,,No Description,In Stock
Source/Extraction Leak check box,AMAT ,,No Description,In Stock
Isolation Valve Source,AMAT ,,No Description,In Stock
Flood Gun Assy,AMAT ,,AMAT Flood Gun Assy,In Stock
Bushing Supports,Varian ,,Varian Bushing Supports,In Stock
Faraday,Varian ,,Varian Faraday,In Stock
Beam Gate,Varian ,,Varian Beam Gate,In Stock
PA Faraday Cage,AMAT ,,AMAT PA Faraday Cage,In Stock
Extraction Assy,AMAT ,,AMAT Extraction Assy,In Stock
Source Isolation Valve,Varian ,,Varian Source Isolation Valve,In Stock
Manipulator Assembly,Varian ,E17001750-8,Varian Manipulator Assembly,In Stock
Scanner Assembly,Varian ,,No Description,In Stock
Neutral Pump + CCIG (Cold Cathode Ion Gauge),Varian ,,No Description,In Stock
Bushing Cooling Flange,Varian ,,Varian Bushing Cooling Flange,In Stock
Flight Tube,Varian ,,Varian Flight Tube for E500,In Stock
Source Flange,Varian ,,No Description,In Stock
Beamline Power Distribution,AMAT ,0090-91694,No Description,In Stock
Ion Source Controller IHC,AMAT ,,AMAT Ion Source Controller IHC,In Stock
Tetrode Power Supply ,Hitek,1140-00166,No Description,In Stock
Source + Mag Ion Gauge Controller,AMAT ,9090-00732,No Description,In Stock
Beamline Instrumentation Panel,AMAT ,9090-00926,No Description,In Stock
6 Kev Pre Accel Power Supply,Hitek,9090-00801,Hitec 9090-00801 6 Kev Pre Accel Power Supply,In Stock
E Diagnostic System Interface,,AS00348-02,MKS AS00348-02 E Diagnostic System Interface,In Stock
High Voltage Power Supply,Hitek,0090-91806,No Description,In Stock
